class,order,family,genus,species,subspecies,Index,common_name,2020 Pop.,Size,Guild,Primary Food Sources,Secondary Food Sources,DailyEnergyExpenditure,DailyFoodIntake_dry_g,Adult Total Monthly Food Kg/month,Juvenile Total Monthly Food Kg/month,Fraction  of  Food (Meat) Avaialable from Other Sources,Fraction of Food  (Meat) Extracted from Prey Mass,female_maturity_d,female_maturity_m,litter_or_clutch_size_n,litters_or_clutches_per_y,Number of Offspring per Litter,Survival Fraction of Offspring,Probability of Pregnancy,adult_body_mass_g,Adult Body Mass Kg ,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,birth_or_hatching_weight_KG,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,Average juvenile mass,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d, Age of last reproduction_y,Age of last reproduction_m,Fraction of Fertile Female,Number of Annual Offspring per Fertile Female,Number of Monthly Offspring per Fertile Female,Birth Fraction Month,longevity_m,Adult Death Fraction Month,"Juvenile Death Amplifaction Factor (Diseases, etc…)",Juvenile Death Fraction Month,Monthly HuntingFraction by Human 
Mammalia,Artiodactyla,Giraffidae,Giraffa,camelopardalis,-999,h18,Giraffe,1151,Huge,Browser,,,16378.66,2035.08,61.05,32.76,,,1380.26878,45.37372715,1.12,0.54,1.12,0.6,0.8,800000,800,39.5,456.125,182.455,58500,58.5,-999,-999,-999,-999,36.3,1644,1.681492129,-999,-999,429.25,-999,-999,-999,-999,445.0515,-999,-999,-999,-999,-999,-999,-999,36.3,435.6,0.447918128,0.290304,0.024192,0.010836035,435.6,0.002295684,5,0.011478421,
Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,-999,h19,Hippopotamus,EXCLUDE (small pop.),Huge,Grazer,,,38004.13,11182.95,335.49,170.29,,,1654.5,54.38856016,1,0.61,1,0.6,0.8,2.64E+06,2640,61.2,234.685,334.37,40000,40,237500,-999,-999,-999,54.5,1279,1.72421629,-999,1600000,1340,-999,-999,-999,-999,505,-999,-999,-999,-999,-999,-999,-999,54.5,654,0.458418532,0.2928,0.0244,0.011185412,654,0.001529052,5,0.00764526,
Mammalia,Artiodactyla,Suidae,Phacochoerus,africanus,-999,h20,Warthog,491,Med,Grazer,,,3544.57,1043.01,31.29,15.76,,,578,19.00065746,3,1.5,3,0.6,0.8,91249.995,91.249995,20.9,168.245,84,660,0.66,-999,-999,-999,-999,20.79166667,578,1.166324435,-999,-999,45.9549975,-999,-999,-999,-999,135.554,-999,-999,-999,-999,-999,-999,-999,20.79166667,249.5,0.46192253,2.16,0.18,0.083146055,249.5,0.004008016,5,0.02004008,
Mammalia,Perissodactyla,Equidae,Equus,asinus,-999,h21,Domestic Donkey,0,Med,Grazer,,,5524.69,1625.67,48.77,28.55,,,708,23.27416174,1,-999,1,0.6,0.8,171249.245,171.249245,50,361.65946,152.2,29249.99,29.24999,32500,-999,-999,-999,47,1005,1,-999,-999,100.2496175,177500,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,-999,47,564,0.479366878,-479.52,-39.96,-19.15550044,564,0.00177305,5,0.008865248,
Mammalia,Perissodactyla,Equidae,Equus,burchellii,-999,h22,Zebra,3348,Large,Grazer,,,7813.51,2299.17,68.98,38.45,,,900,29.58579882,1,0.62,1,0.6,0.8,280000,280,40,367.69088,366.215,32137.27,32.13727,189750,-999,-999,-999,38,900,1.522245038,302000,275500,156.068635,-999,-999,-999,-999,251.5,-999,-999,-999,-999,-999,-999,-999,38,456,0.467559431,0.2976,0.0248,0.011595474,456,0.002192982,5,0.010964912,
Mammalia,Perissodactyla,Rhinocerotidae,Diceros,bicornis,-999,h23,Black Rhinoceros,EXCLUDE (small pop),Huge,Browser,,,19114.13,2374.97,71.25,36.88,,,1826,60.02629849,1,0.4,1,0.6,0.8,995940.54,995.94054,49.24166667,474,606.28512,34999.99,34.99999,426865.48,-999,-999,-999,46.41666667,2254,2.886201232,-999,-999,515.470265,-999,-999,-999,-999,329.9995,-999,-999,-999,-999,-999,-999,-999,46.41666667,557,0.446116429,0.192,0.016,0.007137863,557,0.001795332,5,0.008976661,
Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,-999,h24,Elephant,38388,Huge,Mixed,,,55349.64,48870.32,1466.11,750.16,,,4253.80718,139.8358705,1,0.21,1,0.6,0.8,4.5E+06,4500,80,669.68,1088.8,105000,105,600000,-999,-999,-999,65,3650,4.673511294,-999,4365000,2302.5,-999,-999,-999,-999,750,-999,-999,119.863,-999,-999,-999,-999,65,780,0.410361621,0.1008,0.0084,0.003447038,780,0.001282051,5,0.006410256,
Mammalia,Carnivora,Canidae,Canis,mesomelas,-999,p1,Jackal,NO ESTIMATE AVAIL,Small,Carnivore,1kg,Carrion,651.03,367.79,11.03,5.62,0.60,0.70,309,10.15779093,3.95,1,3.95,0.6,0.8,8247.3,8.2473,16.7,62.5,60,159,0.159,-999,-999,-999,-999,14,251,0.749828884,-999,-999,4.20315,7720,-999,-999,-999,72.6135,-999,-999,-999,-999,-999,-999,-999,14,168,0.469768479,1.896,0.158,0.07422342,168,0.005952381,5,0.029761905,
Mammalia,Carnivora,Canidae,Lycaon,pictus,-999,p2,African wild dog,Hilton to provide?,Large,Carnivore,<50kg,50-1000 kg,1392.59,786.72,23.60,11.96,0.20,0.70,703.7545,23.13459895,7.495,1,7.495,0.6,0.8,24249.995,24.249995,17,72,88.92,318,0.318,-999,-999,-999,-999,15.05833333,639,0.982710472,-999,114000,12.2839975,8750,-999,-999,-999,102.193,-999,-999,-999,-999,-999,-999,-999,15.05833333,180.7,0.435986168,3.5976,0.2998,0.130708653,180.7,0.005534034,5,0.027670172,
Mammalia,Carnivora,Felidae,Panthera,leo,-999,p3,Lion,283,Large,Carnivore,50-300 kg,15-300 kg & 15-1000 kg,5009.84,2830.22,84.91,42.82,0.05,0.70,1095,35.99605523,2.825,1,2.825,0.6,0.8,149061.965,149.061965,30,109,216,1300,1.3,8480,-999,-999,-999,27,1095,1.887748118,-999,188000,75.1809825,98000,-999,-999,-999,216.758,-999,-999,-999,-999,-999,-999,-999,27,324,0.444450532,1.356,0.113,0.05022291,324,0.00308642,5,0.015432099,
Mammalia,Carnivora,Felidae,Panthera,pardus,-999,p4,Leopard,193,Large,Carnivore,0-60kg,,2419.06,1366.61,41.00,20.71,0.05,0.70,937,30.80210388,2.14,1,2.14,0.6,0.8,53074.995,53.074995,27.3,97,110,550,0.55,1940,-999,-999,-999,23,771,1.259917864,-999,-999,26.8124975,-999,-999,-999,-999,164.3855,-999,-999,-999,-999,-999,-999,-999,23,276,0.444199087,1.0272,0.0856,0.038023442,276,0.003623188,5,0.018115942,
Mammalia,Carnivora,Hyaenidae,Crocuta,crocuta,-999,p5,Spotted Hyaena,1120,Large,Carnivore,<15kg,15-400,2729.83,1542.17,46.26,23.64,0.40,0.90,1049.694,34.50670611,2,1,2,0.6,0.8,63000,63,41.1,110,321.70852,1390,1.39,14500,-999,-999,-999,41.1,639,1.218398357,-999,45000,32.195,-999,-999,-999,-999,137.9055,-999,-999,-999,-999,-999,-999,-999,41.1,493.2,0.465017532,0.96,0.08,0.037201403,493.2,0.002027575,5,0.010137875,
,,,,,,p6,Cheetah,Hilton to provide?,Large,Carnivore,50 kg,<50kg,2338.26,2064.54,61.94,30.97,0.05,0.70,598.985,19.69049967,,0.7,3.04,0.6,0.8,50577.92,50.57792,,,,,0,,,,,19,,,,,25.28896,,,,,,,,,,,,,19,228,0.45681908,1.02144,0.08512,0.03888444,228,0.004385965,5,0.021929825
