"month","lc_class","lc_descr","burned_area_km2"
2001-06-01,210,"Water bodies",24.49632
2001-07-01,10,"Crops rainfed",0
2001-07-01,30,"Crop-tree mosaic",0
2001-07-01,60,"Woodland",7.02468000000001
2001-07-01,120,"Shrubland",226.41084
2001-07-01,130,"Grassland",0.810540000000001
2001-07-01,180,"Flooded Vegetation",0.450300000000001
2001-07-01,190,"Built areas",0
2001-07-01,200,"Bare areas",0.630420000000001
2001-07-01,210,"Water bodies",24.49632
2001-08-01,10,"Crops rainfed",14.04936
2001-08-01,30,"Crop-tree mosaic",4.95330000000001
2001-08-01,60,"Woodland",7.56504000000001
2001-08-01,120,"Shrubland",1222.83468
2001-08-01,130,"Grassland",54.3061800000001
2001-08-01,180,"Flooded Vegetation",0.450300000000001
2001-08-01,190,"Built areas",0
2001-08-01,200,"Bare areas",0
2001-08-01,210,"Water bodies",24.49632
2001-09-01,10,"Crops rainfed",136.35084
2001-09-01,30,"Crop-tree mosaic",83.6657400000001
2001-09-01,60,"Woodland",9.99666000000001
2001-09-01,120,"Shrubland",1067.03088
2001-09-01,130,"Grassland",7.02468000000001
2001-09-01,180,"Flooded Vegetation",0.450300000000001
2001-09-01,190,"Built areas",0
2001-09-01,200,"Bare areas",0.36024
2001-09-01,210,"Water bodies",24.49632
2001-10-01,10,"Crops rainfed",32.4216
2001-10-01,30,"Crop-tree mosaic",16.57104
2001-10-01,60,"Woodland",43.6791000000001
2001-10-01,120,"Shrubland",1053.2517
2001-10-01,130,"Grassland",65.6537400000001
2001-10-01,180,"Flooded Vegetation",2.7018
2001-10-01,190,"Built areas",0
2001-10-01,200,"Bare areas",17.5617
2001-10-01,210,"Water bodies",24.49632
2001-11-01,10,"Crops rainfed",0
2001-11-01,30,"Crop-tree mosaic",0
2001-11-01,60,"Woodland",0.0900600000000001
2001-11-01,120,"Shrubland",9.00600000000001
2001-11-01,130,"Grassland",1.08072
2001-11-01,180,"Flooded Vegetation",0.450300000000001
2001-11-01,190,"Built areas",0
2001-11-01,200,"Bare areas",2.16144
2001-11-01,210,"Water bodies",24.49632
2001-12-01,10,"Crops rainfed",0
2001-12-01,30,"Crop-tree mosaic",0
2001-12-01,60,"Woodland",0.0900600000000001
2001-12-01,120,"Shrubland",4.14276000000001
2001-12-01,130,"Grassland",0.810540000000001
2001-12-01,180,"Flooded Vegetation",0.450300000000001
2001-12-01,190,"Built areas",0
2001-12-01,200,"Bare areas",0
2001-12-01,210,"Water bodies",24.49632
2002-01-01,10,"Crops rainfed",0
2002-01-01,30,"Crop-tree mosaic",3.33222
2002-01-01,60,"Woodland",0
2002-01-01,120,"Shrubland",20.89392
2002-01-01,130,"Grassland",0.0900600000000001
2002-01-01,180,"Flooded Vegetation",0
2002-01-01,190,"Built areas",0
2002-01-01,200,"Bare areas",0
2002-01-01,210,"Water bodies",20.08338
2002-02-01,10,"Crops rainfed",0
2002-02-01,30,"Crop-tree mosaic",0
2002-02-01,60,"Woodland",0
2002-02-01,120,"Shrubland",2.2515
2002-02-01,130,"Grassland",0.0900600000000001
2002-02-01,180,"Flooded Vegetation",0
2002-02-01,190,"Built areas",0
2002-02-01,200,"Bare areas",0
2002-02-01,210,"Water bodies",20.08338
2002-03-01,10,"Crops rainfed",0
2002-03-01,30,"Crop-tree mosaic",0
2002-03-01,60,"Woodland",0.720480000000001
2002-03-01,120,"Shrubland",21.1641
2002-03-01,130,"Grassland",0.0900600000000001
2002-03-01,180,"Flooded Vegetation",0
2002-03-01,190,"Built areas",0
2002-03-01,200,"Bare areas",0
2002-03-01,210,"Water bodies",20.08338
2002-04-01,10,"Crops rainfed",6.39426000000001
2002-04-01,30,"Crop-tree mosaic",22.515
2002-04-01,60,"Woodland",8.82588000000001
2002-04-01,120,"Shrubland",197.05128
2002-04-01,130,"Grassland",8.64576000000001
2002-04-01,180,"Flooded Vegetation",0
2002-04-01,190,"Built areas",0
2002-04-01,200,"Bare areas",0
2002-04-01,210,"Water bodies",20.08338
2002-05-01,10,"Crops rainfed",0
2002-05-01,30,"Crop-tree mosaic",0
2002-05-01,60,"Woodland",0
2002-05-01,120,"Shrubland",2.2515
2002-05-01,130,"Grassland",0.0900600000000001
2002-05-01,180,"Flooded Vegetation",0
2002-05-01,190,"Built areas",0
2002-05-01,200,"Bare areas",0
2002-05-01,210,"Water bodies",20.08338
2002-06-01,10,"Crops rainfed",6.84456000000001
2002-06-01,30,"Crop-tree mosaic",2.79186
2002-06-01,60,"Woodland",4.50300000000001
2002-06-01,120,"Shrubland",389.77968
2002-06-01,130,"Grassland",1.17078
2002-06-01,180,"Flooded Vegetation",0
2002-06-01,190,"Built areas",0
2002-06-01,200,"Bare areas",0
2002-06-01,210,"Water bodies",20.08338
2002-07-01,10,"Crops rainfed",0.0900600000000001
2002-07-01,30,"Crop-tree mosaic",0.990660000000001
2002-07-01,60,"Woodland",11.97798
2002-07-01,120,"Shrubland",68.5356600000001
2002-07-01,130,"Grassland",4.50300000000001
2002-07-01,180,"Flooded Vegetation",0
2002-07-01,190,"Built areas",0
2002-07-01,200,"Bare areas",0
2002-07-01,210,"Water bodies",20.08338
2002-08-01,10,"Crops rainfed",41.8779
2002-08-01,30,"Crop-tree mosaic",38.2755
2002-08-01,60,"Woodland",51.8745600000001
2002-08-01,120,"Shrubland",1635.21942
2002-08-01,130,"Grassland",48.27216
2002-08-01,180,"Flooded Vegetation",0.540360000000001
2002-08-01,190,"Built areas",0
2002-08-01,200,"Bare areas",18.64242
2002-08-01,210,"Water bodies",20.08338
2002-09-01,10,"Crops rainfed",2.16144
2002-09-01,30,"Crop-tree mosaic",4.32288000000001
2002-09-01,60,"Woodland",10.53702
2002-09-01,120,"Shrubland",79.6130400000001
2002-09-01,130,"Grassland",1.62108
2002-09-01,180,"Flooded Vegetation",0
2002-09-01,190,"Built areas",0
2002-09-01,200,"Bare areas",0.450300000000001
2002-09-01,210,"Water bodies",20.08338
2002-10-01,10,"Crops rainfed",20.44362
2002-10-01,30,"Crop-tree mosaic",21.70446
2002-10-01,60,"Woodland",54.6664200000001
2002-10-01,120,"Shrubland",1141.5105
2002-10-01,130,"Grassland",69.6163800000001
2002-10-01,180,"Flooded Vegetation",0
2002-10-01,190,"Built areas",0
2002-10-01,200,"Bare areas",1.17078
2002-10-01,210,"Water bodies",20.08338
2002-11-01,10,"Crops rainfed",6.84456000000001
2002-11-01,30,"Crop-tree mosaic",1.17078
2002-11-01,60,"Woodland",0.0900600000000001
2002-11-01,120,"Shrubland",279.36612
2002-11-01,130,"Grassland",0.720480000000001
2002-11-01,180,"Flooded Vegetation",0
2002-11-01,190,"Built areas",0
2002-11-01,200,"Bare areas",0
2002-11-01,210,"Water bodies",20.08338
2002-12-01,10,"Crops rainfed",0
2002-12-01,30,"Crop-tree mosaic",0
2002-12-01,60,"Woodland",0.0900600000000001
2002-12-01,120,"Shrubland",2.52168
2002-12-01,130,"Grassland",0.0900600000000001
2002-12-01,180,"Flooded Vegetation",0
2002-12-01,190,"Built areas",0
2002-12-01,200,"Bare areas",0
2002-12-01,210,"Water bodies",20.08338
2003-01-01,10,"Crops rainfed",0
2003-01-01,30,"Crop-tree mosaic",0
2003-01-01,60,"Woodland",0
2003-01-01,120,"Shrubland",2.7018
2003-01-01,130,"Grassland",0.630420000000001
2003-01-01,180,"Flooded Vegetation",0
2003-01-01,190,"Built areas",0
2003-01-01,200,"Bare areas",0.0900600000000001
2003-01-01,210,"Water bodies",17.83188
2003-02-01,10,"Crops rainfed",0
2003-02-01,30,"Crop-tree mosaic",0
2003-02-01,60,"Woodland",0
2003-02-01,120,"Shrubland",2.7018
2003-02-01,130,"Grassland",0.630420000000001
2003-02-01,180,"Flooded Vegetation",0
2003-02-01,190,"Built areas",0
2003-02-01,200,"Bare areas",0.0900600000000001
2003-02-01,210,"Water bodies",17.83188
2003-03-01,10,"Crops rainfed",0
2003-03-01,30,"Crop-tree mosaic",0
2003-03-01,60,"Woodland",0
2003-03-01,120,"Shrubland",2.79186
2003-03-01,130,"Grassland",0.630420000000001
2003-03-01,180,"Flooded Vegetation",0
2003-03-01,190,"Built areas",0
2003-03-01,200,"Bare areas",0.0900600000000001
2003-03-01,210,"Water bodies",17.83188
2003-04-01,10,"Crops rainfed",0
2003-04-01,30,"Crop-tree mosaic",0
2003-04-01,60,"Woodland",0
2003-04-01,120,"Shrubland",2.7018
2003-04-01,130,"Grassland",0.630420000000001
2003-04-01,180,"Flooded Vegetation",0
2003-04-01,190,"Built areas",0
2003-04-01,200,"Bare areas",0.0900600000000001
2003-04-01,210,"Water bodies",17.83188
2003-05-01,10,"Crops rainfed",0
2003-05-01,30,"Crop-tree mosaic",0
2003-05-01,60,"Woodland",0
2003-05-01,120,"Shrubland",2.7018
2003-05-01,130,"Grassland",0.630420000000001
2003-05-01,180,"Flooded Vegetation",0
2003-05-01,190,"Built areas",0
2003-05-01,200,"Bare areas",0.0900600000000001
2003-05-01,210,"Water bodies",17.83188
2003-06-01,10,"Crops rainfed",0
2003-06-01,30,"Crop-tree mosaic",0
2003-06-01,60,"Woodland",0
2003-06-01,120,"Shrubland",50.8839000000001
2003-06-01,130,"Grassland",0.630420000000001
2003-06-01,180,"Flooded Vegetation",0
2003-06-01,190,"Built areas",0
2003-06-01,200,"Bare areas",0.0900600000000001
2003-06-01,210,"Water bodies",17.83188
2003-07-01,10,"Crops rainfed",0
2003-07-01,30,"Crop-tree mosaic",0
2003-07-01,60,"Woodland",0.0900600000000001
2003-07-01,120,"Shrubland",3.6024
2003-07-01,130,"Grassland",0.720480000000001
2003-07-01,180,"Flooded Vegetation",0
2003-07-01,190,"Built areas",0
2003-07-01,200,"Bare areas",0.0900600000000001
2003-07-01,210,"Water bodies",17.83188
2003-08-01,10,"Crops rainfed",5.58372000000001
2003-08-01,30,"Crop-tree mosaic",7.47498000000001
2003-08-01,60,"Woodland",8.01534000000001
2003-08-01,120,"Shrubland",44.1294000000001
2003-08-01,130,"Grassland",0.630420000000001
2003-08-01,180,"Flooded Vegetation",0
2003-08-01,190,"Built areas",0
2003-08-01,200,"Bare areas",0.0900600000000001
2003-08-01,210,"Water bodies",17.83188
2003-09-01,10,"Crops rainfed",10.98732
2003-09-01,30,"Crop-tree mosaic",18.82254
2003-09-01,60,"Woodland",27.73848
2003-09-01,120,"Shrubland",650.683500000001
2003-09-01,130,"Grassland",3.42228
2003-09-01,180,"Flooded Vegetation",0.18012
2003-09-01,190,"Built areas",0
2003-09-01,200,"Bare areas",0.0900600000000001
2003-09-01,210,"Water bodies",17.83188
2003-10-01,10,"Crops rainfed",7.02468000000001
2003-10-01,30,"Crop-tree mosaic",1.3509
2003-10-01,60,"Woodland",2.97198
2003-10-01,120,"Shrubland",107.26146
2003-10-01,130,"Grassland",3.06204
2003-10-01,180,"Flooded Vegetation",0
2003-10-01,190,"Built areas",0
2003-10-01,200,"Bare areas",0.0900600000000001
2003-10-01,210,"Water bodies",17.83188
2003-11-01,10,"Crops rainfed",0
2003-11-01,30,"Crop-tree mosaic",0
2003-11-01,60,"Woodland",0.36024
2003-11-01,120,"Shrubland",49.5330000000001
2003-11-01,130,"Grassland",0.630420000000001
2003-11-01,180,"Flooded Vegetation",0
2003-11-01,190,"Built areas",0
2003-11-01,200,"Bare areas",0.0900600000000001
2003-11-01,210,"Water bodies",17.83188
2003-12-01,10,"Crops rainfed",0
2003-12-01,30,"Crop-tree mosaic",0
2003-12-01,60,"Woodland",0.720480000000001
2003-12-01,120,"Shrubland",3.78252
2003-12-01,130,"Grassland",0.630420000000001
2003-12-01,180,"Flooded Vegetation",0
2003-12-01,190,"Built areas",0
2003-12-01,200,"Bare areas",0.0900600000000001
2003-12-01,210,"Water bodies",17.83188
2004-01-01,10,"Crops rainfed",0
2004-01-01,30,"Crop-tree mosaic",0
2004-01-01,60,"Woodland",0
2004-01-01,120,"Shrubland",2.52168
2004-01-01,130,"Grassland",1.89126
2004-01-01,180,"Flooded Vegetation",0.0900600000000001
2004-01-01,190,"Built areas",0
2004-01-01,200,"Bare areas",0
2004-01-01,210,"Water bodies",18.9126
2004-02-01,10,"Crops rainfed",0
2004-02-01,30,"Crop-tree mosaic",0
2004-02-01,60,"Woodland",0
2004-02-01,120,"Shrubland",2.52168
2004-02-01,130,"Grassland",1.53102
2004-02-01,180,"Flooded Vegetation",0.0900600000000001
2004-02-01,190,"Built areas",0
2004-02-01,200,"Bare areas",0
2004-02-01,210,"Water bodies",18.9126
2004-03-01,10,"Crops rainfed",0
2004-03-01,30,"Crop-tree mosaic",0
2004-03-01,60,"Woodland",0
2004-03-01,120,"Shrubland",2.52168
2004-03-01,130,"Grassland",1.53102
2004-03-01,180,"Flooded Vegetation",0.0900600000000001
2004-03-01,190,"Built areas",0
2004-03-01,200,"Bare areas",0
2004-03-01,210,"Water bodies",18.9126
2004-04-01,10,"Crops rainfed",0
2004-04-01,30,"Crop-tree mosaic",0
2004-04-01,60,"Woodland",0
2004-04-01,120,"Shrubland",3.6024
2004-04-01,130,"Grassland",2.07138
2004-04-01,180,"Flooded Vegetation",0.0900600000000001
2004-04-01,190,"Built areas",1.08072
2004-04-01,200,"Bare areas",2.79186
2004-04-01,210,"Water bodies",18.9126
2004-05-01,10,"Crops rainfed",0
2004-05-01,30,"Crop-tree mosaic",0
2004-05-01,60,"Woodland",0
2004-05-01,120,"Shrubland",2.52168
2004-05-01,130,"Grassland",1.53102
2004-05-01,180,"Flooded Vegetation",0.0900600000000001
2004-05-01,190,"Built areas",0
2004-05-01,200,"Bare areas",0
2004-05-01,210,"Water bodies",18.9126
2004-06-01,10,"Crops rainfed",0
2004-06-01,30,"Crop-tree mosaic",0
2004-06-01,60,"Woodland",0
2004-06-01,120,"Shrubland",2.52168
2004-06-01,130,"Grassland",1.53102
2004-06-01,180,"Flooded Vegetation",0.0900600000000001
2004-06-01,190,"Built areas",0
2004-06-01,200,"Bare areas",0
2004-06-01,210,"Water bodies",18.9126
2004-07-01,10,"Crops rainfed",0
2004-07-01,30,"Crop-tree mosaic",0.27018
2004-07-01,60,"Woodland",0
2004-07-01,120,"Shrubland",69.6163800000001
2004-07-01,130,"Grassland",1.62108
2004-07-01,180,"Flooded Vegetation",0.0900600000000001
2004-07-01,190,"Built areas",0
2004-07-01,200,"Bare areas",0.27018
2004-07-01,210,"Water bodies",18.9126
2004-08-01,10,"Crops rainfed",0
2004-08-01,30,"Crop-tree mosaic",4.05270000000001
2004-08-01,60,"Woodland",12.24816
2004-08-01,120,"Shrubland",230.91384
2004-08-01,130,"Grassland",2.43162
2004-08-01,180,"Flooded Vegetation",1.89126
2004-08-01,190,"Built areas",0
2004-08-01,200,"Bare areas",14.13942
2004-08-01,210,"Water bodies",18.9126
2004-09-01,10,"Crops rainfed",18.012
2004-09-01,30,"Crop-tree mosaic",16.93128
2004-09-01,60,"Woodland",64.9332600000001
2004-09-01,120,"Shrubland",1627.02396
2004-09-01,130,"Grassland",26.65776
2004-09-01,180,"Flooded Vegetation",1.53102
2004-09-01,190,"Built areas",0
2004-09-01,200,"Bare areas",0
2004-09-01,210,"Water bodies",20.89392
2004-10-01,10,"Crops rainfed",40.9773
2004-10-01,30,"Crop-tree mosaic",22.69512
2004-10-01,60,"Woodland",150.58032
2004-10-01,120,"Shrubland",3060.95928
2004-10-01,130,"Grassland",85.1967600000001
2004-10-01,180,"Flooded Vegetation",0.0900600000000001
2004-10-01,190,"Built areas",0
2004-10-01,200,"Bare areas",0.450300000000001
2004-10-01,210,"Water bodies",18.9126
2004-11-01,10,"Crops rainfed",8.82588000000001
2004-11-01,30,"Crop-tree mosaic",9.45630000000001
2004-11-01,60,"Woodland",63.2221200000001
2004-11-01,120,"Shrubland",1152.04752
2004-11-01,130,"Grassland",22.42494
2004-11-01,180,"Flooded Vegetation",0.0900600000000001
2004-11-01,190,"Built areas",0
2004-11-01,200,"Bare areas",0
2004-11-01,210,"Water bodies",18.9126
2004-12-01,10,"Crops rainfed",0
2004-12-01,30,"Crop-tree mosaic",0
2004-12-01,60,"Woodland",0
2004-12-01,120,"Shrubland",2.52168
2004-12-01,130,"Grassland",1.53102
2004-12-01,180,"Flooded Vegetation",0.0900600000000001
2004-12-01,190,"Built areas",0
2004-12-01,200,"Bare areas",0
2004-12-01,210,"Water bodies",18.9126
2005-01-01,10,"Crops rainfed",0
2005-01-01,30,"Crop-tree mosaic",0
2005-01-01,60,"Woodland",0
2005-01-01,120,"Shrubland",5.67378000000001
2005-01-01,130,"Grassland",0.900600000000001
2005-01-01,180,"Flooded Vegetation",0
2005-01-01,190,"Built areas",0
2005-01-01,200,"Bare areas",0
2005-01-01,210,"Water bodies",16.84122
2005-02-01,10,"Crops rainfed",0
2005-02-01,30,"Crop-tree mosaic",0
2005-02-01,60,"Woodland",0
2005-02-01,120,"Shrubland",5.76384000000001
2005-02-01,130,"Grassland",1.08072
2005-02-01,180,"Flooded Vegetation",0
2005-02-01,190,"Built areas",0
2005-02-01,200,"Bare areas",0
2005-02-01,210,"Water bodies",16.84122
2005-03-01,10,"Crops rainfed",0
2005-03-01,30,"Crop-tree mosaic",2.43162
2005-03-01,60,"Woodland",0
2005-03-01,120,"Shrubland",65.2935000000001
2005-03-01,130,"Grassland",0.900600000000001
2005-03-01,180,"Flooded Vegetation",0
2005-03-01,190,"Built areas",0
2005-03-01,200,"Bare areas",0
2005-03-01,210,"Water bodies",16.84122
2005-04-01,10,"Crops rainfed",0
2005-04-01,30,"Crop-tree mosaic",0
2005-04-01,60,"Woodland",0
2005-04-01,120,"Shrubland",6.21414000000001
2005-04-01,130,"Grassland",0.900600000000001
2005-04-01,180,"Flooded Vegetation",0
2005-04-01,190,"Built areas",0
2005-04-01,200,"Bare areas",0
2005-04-01,210,"Water bodies",16.84122
2005-05-01,10,"Crops rainfed",0
2005-05-01,30,"Crop-tree mosaic",0
2005-05-01,60,"Woodland",0.36024
2005-05-01,120,"Shrubland",9.90660000000001
2005-05-01,130,"Grassland",0.900600000000001
2005-05-01,180,"Flooded Vegetation",0
2005-05-01,190,"Built areas",0
2005-05-01,200,"Bare areas",0
2005-05-01,210,"Water bodies",16.84122
2005-06-01,10,"Crops rainfed",0.990660000000001
2005-06-01,30,"Crop-tree mosaic",1.53102
2005-06-01,60,"Woodland",4.14276000000001
2005-06-01,120,"Shrubland",117.70842
2005-06-01,130,"Grassland",0.990660000000001
2005-06-01,180,"Flooded Vegetation",0
2005-06-01,190,"Built areas",0
2005-06-01,200,"Bare areas",0
2005-06-01,210,"Water bodies",16.84122
2005-07-01,10,"Crops rainfed",0
2005-07-01,30,"Crop-tree mosaic",0.0900600000000001
2005-07-01,60,"Woodland",4.05270000000001
2005-07-01,120,"Shrubland",135.18006
2005-07-01,130,"Grassland",0.900600000000001
2005-07-01,180,"Flooded Vegetation",0
2005-07-01,190,"Built areas",0
2005-07-01,200,"Bare areas",0
2005-07-01,210,"Water bodies",16.84122
2005-08-01,10,"Crops rainfed",1.08072
2005-08-01,30,"Crop-tree mosaic",1.44096
2005-08-01,60,"Woodland",15.3102
2005-08-01,120,"Shrubland",712.554720000001
2005-08-01,130,"Grassland",23.8659
2005-08-01,180,"Flooded Vegetation",0
2005-08-01,190,"Built areas",0
2005-08-01,200,"Bare areas",0
2005-08-01,210,"Water bodies",17.02134
2005-09-01,10,"Crops rainfed",7.11474000000001
2005-09-01,30,"Crop-tree mosaic",17.02134
2005-09-01,60,"Woodland",107.08134
2005-09-01,120,"Shrubland",500.013120000001
2005-09-01,130,"Grassland",3.51234
2005-09-01,180,"Flooded Vegetation",0.18012
2005-09-01,190,"Built areas",0
2005-09-01,200,"Bare areas",0.18012
2005-09-01,210,"Water bodies",17.5617
2005-10-01,10,"Crops rainfed",55.2968400000001
2005-10-01,30,"Crop-tree mosaic",11.79786
2005-10-01,60,"Woodland",48.81252
2005-10-01,120,"Shrubland",649.963020000001
2005-10-01,130,"Grassland",18.28218
2005-10-01,180,"Flooded Vegetation",0.720480000000001
2005-10-01,190,"Built areas",0
2005-10-01,200,"Bare areas",42.9586200000001
2005-10-01,210,"Water bodies",16.84122
2005-11-01,10,"Crops rainfed",1.44096
2005-11-01,30,"Crop-tree mosaic",0.720480000000001
2005-11-01,60,"Woodland",8.19546000000001
2005-11-01,120,"Shrubland",570.440040000001
2005-11-01,130,"Grassland",76.5510000000001
2005-11-01,180,"Flooded Vegetation",0
2005-11-01,190,"Built areas",0
2005-11-01,200,"Bare areas",0
2005-11-01,210,"Water bodies",16.84122
2005-12-01,10,"Crops rainfed",0
2005-12-01,30,"Crop-tree mosaic",0
2005-12-01,60,"Woodland",0
2005-12-01,120,"Shrubland",5.85390000000001
2005-12-01,130,"Grassland",0.900600000000001
2005-12-01,180,"Flooded Vegetation",0
2005-12-01,190,"Built areas",0
2005-12-01,200,"Bare areas",0
2005-12-01,210,"Water bodies",16.84122
2006-01-01,10,"Crops rainfed",0
2006-01-01,30,"Crop-tree mosaic",0
2006-01-01,60,"Woodland",0
2006-01-01,120,"Shrubland",3.33222
2006-01-01,130,"Grassland",0.630420000000001
2006-01-01,180,"Flooded Vegetation",0.0900600000000001
2006-01-01,190,"Built areas",0
2006-01-01,200,"Bare areas",0.0900600000000001
2006-01-01,210,"Water bodies",17.65176
2006-02-01,10,"Crops rainfed",0
2006-02-01,30,"Crop-tree mosaic",0
2006-02-01,60,"Woodland",0
2006-02-01,120,"Shrubland",3.33222
2006-02-01,130,"Grassland",0.630420000000001
2006-02-01,180,"Flooded Vegetation",0.0900600000000001
2006-02-01,190,"Built areas",0
2006-02-01,200,"Bare areas",0.0900600000000001
2006-02-01,210,"Water bodies",17.65176
2006-03-01,10,"Crops rainfed",0
2006-03-01,30,"Crop-tree mosaic",0
2006-03-01,60,"Woodland",0
2006-03-01,120,"Shrubland",3.33222
2006-03-01,130,"Grassland",0.630420000000001
2006-03-01,180,"Flooded Vegetation",0.0900600000000001
2006-03-01,190,"Built areas",0
2006-03-01,200,"Bare areas",0.0900600000000001
2006-03-01,210,"Water bodies",17.65176
2006-04-01,10,"Crops rainfed",0
2006-04-01,30,"Crop-tree mosaic",0
2006-04-01,60,"Woodland",0
2006-04-01,120,"Shrubland",17.74182
2006-04-01,130,"Grassland",1.44096
2006-04-01,180,"Flooded Vegetation",0.0900600000000001
2006-04-01,190,"Built areas",0
2006-04-01,200,"Bare areas",0.18012
2006-04-01,210,"Water bodies",17.65176
2006-05-01,10,"Crops rainfed",0.0900600000000001
2006-05-01,30,"Crop-tree mosaic",0
2006-05-01,60,"Woodland",0
2006-05-01,120,"Shrubland",43.4089200000001
2006-05-01,130,"Grassland",1.3509
2006-05-01,180,"Flooded Vegetation",0.0900600000000001
2006-05-01,190,"Built areas",0
2006-05-01,200,"Bare areas",0.0900600000000001
2006-05-01,210,"Water bodies",17.65176
2006-06-01,10,"Crops rainfed",0.0900600000000001
2006-06-01,30,"Crop-tree mosaic",0
2006-06-01,60,"Woodland",5.76384000000001
2006-06-01,120,"Shrubland",174.17604
2006-06-01,130,"Grassland",4.05270000000001
2006-06-01,180,"Flooded Vegetation",0.0900600000000001
2006-06-01,190,"Built areas",0
2006-06-01,200,"Bare areas",0.0900600000000001
2006-06-01,210,"Water bodies",17.65176
2006-07-01,10,"Crops rainfed",0
2006-07-01,30,"Crop-tree mosaic",0.27018
2006-07-01,60,"Woodland",0.900600000000001
2006-07-01,120,"Shrubland",191.28744
2006-07-01,130,"Grassland",8.55570000000001
2006-07-01,180,"Flooded Vegetation",0.0900600000000001
2006-07-01,190,"Built areas",0
2006-07-01,200,"Bare areas",0.450300000000001
2006-07-01,210,"Water bodies",17.65176
2006-08-01,10,"Crops rainfed",3.96264
2006-08-01,30,"Crop-tree mosaic",6.57438000000001
2006-08-01,60,"Woodland",19.8132
2006-08-01,120,"Shrubland",879.886200000001
2006-08-01,130,"Grassland",4.86324000000001
2006-08-01,180,"Flooded Vegetation",0.0900600000000001
2006-08-01,190,"Built areas",0
2006-08-01,200,"Bare areas",0.0900600000000001
2006-08-01,210,"Water bodies",17.83188
2006-09-01,10,"Crops rainfed",129.6864
2006-09-01,30,"Crop-tree mosaic",42.5983800000001
2006-09-01,60,"Woodland",107.08134
2006-09-01,120,"Shrubland",3740.46198
2006-09-01,130,"Grassland",158.14536
2006-09-01,180,"Flooded Vegetation",4.32288000000001
2006-09-01,190,"Built areas",0
2006-09-01,200,"Bare areas",10.98732
2006-09-01,210,"Water bodies",17.83188
2006-10-01,10,"Crops rainfed",19.18278
2006-10-01,30,"Crop-tree mosaic",9.36624000000001
2006-10-01,60,"Woodland",22.0647
2006-10-01,120,"Shrubland",758.935620000001
2006-10-01,130,"Grassland",2.52168
2006-10-01,180,"Flooded Vegetation",0.0900600000000001
2006-10-01,190,"Built areas",0
2006-10-01,200,"Bare areas",0.0900600000000001
2006-10-01,210,"Water bodies",17.65176
2006-11-01,10,"Crops rainfed",1.3509
2006-11-01,30,"Crop-tree mosaic",0
2006-11-01,60,"Woodland",0.630420000000001
2006-11-01,120,"Shrubland",71.5076400000001
2006-11-01,130,"Grassland",3.78252
2006-11-01,180,"Flooded Vegetation",0.0900600000000001
2006-11-01,190,"Built areas",0
2006-11-01,200,"Bare areas",0.27018
2006-11-01,210,"Water bodies",17.65176
2006-12-01,10,"Crops rainfed",0
2006-12-01,30,"Crop-tree mosaic",0
2006-12-01,60,"Woodland",0
2006-12-01,120,"Shrubland",3.33222
2006-12-01,130,"Grassland",0.630420000000001
