"country","date","lc_class","lc_desc","function (x, y = NULL, na.rm = FALSE, use) 
{
    if (missing(use)) 
        use <- if (na.rm) 
            ""na.or.complete""
        else ""everything""
    na.method <- pmatch(use, c(""all.obs"", ""complete.obs"", ""pairwise.complete.obs"", ""everything"", ""na.or.complete""))
    if (is.na(na.method)) 
        stop(""invalid 'use' argument"")
    if (is.data.frame(x)) 
        x <- as.matrix(x)
    else stopifnot(is.atomic(x))
    if (is.data.frame(y)) 
        y <- as.matrix(y)
    else stopifnot(is.atomic(y))
    .Call(C_cov, x, y, na.method, FALSE)
}"
"BW",1991-04-16,180,"Flooded Vegetation",2.91577969533505e-06
"ZW",1991-04-16,180,"Flooded Vegetation",2.72583651668612e-06
"BW",1991-04-16,190,"Built areas",2.96939128929807e-06
"ZW",1991-04-16,190,"Built areas",3.92849354109897e-06
"BW",1991-04-16,200,"Bare areas",2.51656113473579e-06
"ZW",1991-04-16,200,"Bare areas",4.0350000745093e-06
"ZW",1991-04-16,210,"Water bodies",2.35230238348797e-06
"BW",1991-05-16,10,"Crops rainfed",2.93518525319508e-06
"ZW",1991-05-16,10,"Crops rainfed",5.69279810609366e-06
"BW",1991-05-16,30,"Crop-tree mosaic",3.86220965017712e-06
"ZW",1991-05-16,30,"Crop-tree mosaic",5.9236934551871e-06
"BW",1991-05-16,60,"Woodland",2.92124272859907e-06
"ZW",1991-05-16,60,"Woodland",5.32623140810376e-06
"BW",1991-05-16,120,"Shrubland",3.12001070607498e-06
"ZW",1991-05-16,120,"Shrubland",4.04486484562852e-06
"BW",1991-05-16,130,"Grassland",3.31336707075075e-06
"ZW",1991-05-16,130,"Grassland",4.76023228438512e-06
"BW",1991-05-16,180,"Flooded Vegetation",2.42182794544213e-06
"ZW",1991-05-16,180,"Flooded Vegetation",3.35907202497765e-06
"BW",1991-05-16,190,"Built areas",2.39960718317889e-06
"ZW",1991-05-16,190,"Built areas",4.88140333581308e-06
"BW",1991-05-16,200,"Bare areas",2.5915658176782e-06
"ZW",1991-05-16,200,"Bare areas",5.01626027471502e-06
"ZW",1991-05-16,210,"Water bodies",2.8527227016184e-06
"BW",1991-06-16,10,"Crops rainfed",2.52417063695672e-06
"ZW",1991-06-16,10,"Crops rainfed",4.39250086086739e-06
"BW",1991-06-16,30,"Crop-tree mosaic",2.76256076676475e-06
"ZW",1991-06-16,30,"Crop-tree mosaic",4.54615933629165e-06
"BW",1991-06-16,60,"Woodland",2.23401539401423e-06
"ZW",1991-06-16,60,"Woodland",4.14650664044319e-06
"BW",1991-06-16,120,"Shrubland",2.29328912024219e-06
"ZW",1991-06-16,120,"Shrubland",2.71200059772134e-06
"BW",1991-06-16,130,"Grassland",2.43732941176452e-06
"ZW",1991-06-16,130,"Grassland",3.52681689570892e-06
"BW",1991-06-16,180,"Flooded Vegetation",2.0317687677881e-06
"ZW",1991-06-16,180,"Flooded Vegetation",2.36511637479289e-06
"BW",1991-06-16,190,"Built areas",2.01003740585293e-06
"ZW",1991-06-16,190,"Built areas",3.56380900209369e-06
"BW",1991-06-16,200,"Bare areas",2.1850988577309e-06
"ZW",1991-06-16,200,"Bare areas",3.66319659406145e-06
"ZW",1991-06-16,210,"Water bodies",1.87991630409472e-06
"BW",1991-07-16,10,"Crops rainfed",7.22813511413397e-07
"ZW",1991-07-16,10,"Crops rainfed",8.46298141820054e-07
"BW",1991-07-16,30,"Crop-tree mosaic",7.27838314275313e-07
"ZW",1991-07-16,30,"Crop-tree mosaic",8.87016534433507e-07
"BW",1991-07-16,60,"Woodland",6.44032459514595e-07
"ZW",1991-07-16,60,"Woodland",7.9293787153861e-07
"BW",1991-07-16,120,"Shrubland",6.02675828268023e-07
"ZW",1991-07-16,120,"Shrubland",5.48057812293793e-07
"BW",1991-07-16,130,"Grassland",5.32431626690958e-07
"ZW",1991-07-16,130,"Grassland",6.60557565764323e-07
"BW",1991-07-16,180,"Flooded Vegetation",4.59327407964805e-07
"ZW",1991-07-16,180,"Flooded Vegetation",4.33417965676852e-07
"BW",1991-07-16,190,"Built areas",4.58219290067063e-07
"ZW",1991-07-16,190,"Built areas",4.85418491971817e-07
"BW",1991-07-16,200,"Bare areas",4.70692366350396e-07
"ZW",1991-07-16,200,"Bare areas",4.98752399380464e-07
"ZW",1991-07-16,210,"Water bodies",3.75325698559229e-07
"BW",1991-08-16,10,"Crops rainfed",4.47753946345179e-08
"ZW",1991-08-16,10,"Crops rainfed",4.15310592581575e-08
"BW",1991-08-16,30,"Crop-tree mosaic",3.75900989324917e-08
"ZW",1991-08-16,30,"Crop-tree mosaic",3.16086734466459e-08
"BW",1991-08-16,60,"Woodland",3.73274752644025e-08
"ZW",1991-08-16,60,"Woodland",4.08339898991686e-08
"BW",1991-08-16,120,"Shrubland",3.40655844004086e-08
"ZW",1991-08-16,120,"Shrubland",3.57270580074979e-08
"BW",1991-08-16,130,"Grassland",2.99732967389985e-08
"ZW",1991-08-16,130,"Grassland",3.01830480755459e-08
"BW",1991-08-16,180,"Flooded Vegetation",3.10838926970297e-08
"ZW",1991-08-16,180,"Flooded Vegetation",4.98048183207909e-08
"BW",1991-08-16,190,"Built areas",3.09516927643472e-08
"ZW",1991-08-16,190,"Built areas",5.5084514961217e-08
"BW",1991-08-16,200,"Bare areas",3.192087213008e-08
"ZW",1991-08-16,200,"Bare areas",5.58921087190356e-08
"ZW",1991-08-16,210,"Water bodies",4.51994019507149e-08
"BW",1991-09-16,10,"Crops rainfed",1.24712839887391e-06
"ZW",1991-09-16,10,"Crops rainfed",4.76629001955202e-07
"BW",1991-09-16,30,"Crop-tree mosaic",1.03053854637774e-06
"ZW",1991-09-16,30,"Crop-tree mosaic",5.0702644169891e-07
"BW",1991-09-16,60,"Woodland",1.27143968825135e-06
"ZW",1991-09-16,60,"Woodland",6.22673277593565e-07
"BW",1991-09-16,120,"Shrubland",1.44223709218516e-06
"ZW",1991-09-16,120,"Shrubland",8.23403187823205e-07
"BW",1991-09-16,130,"Grassland",1.78076700031234e-06
"ZW",1991-09-16,130,"Grassland",8.45086407021576e-07
"BW",1991-09-16,180,"Flooded Vegetation",1.43413620736356e-06
"ZW",1991-09-16,180,"Flooded Vegetation",9.88611513427702e-07
"BW",1991-09-16,190,"Built areas",1.43614181524754e-06
"ZW",1991-09-16,190,"Built areas",2.27684613203676e-07
"BW",1991-09-16,200,"Bare areas",1.40632794268149e-06
"ZW",1991-09-16,200,"Bare areas",9.21851892599079e-08
"ZW",1991-09-16,210,"Water bodies",1.06060695885716e-06
"BW",1991-10-16,10,"Crops rainfed",3.97604099110033e-05
"ZW",1991-10-16,10,"Crops rainfed",1.38693347136496e-05
"BW",1991-10-16,30,"Crop-tree mosaic",3.48278213878128e-05
"ZW",1991-10-16,30,"Crop-tree mosaic",1.82449747479614e-05
"BW",1991-10-16,60,"Woodland",4.05401355362708e-05
"ZW",1991-10-16,60,"Woodland",1.38666069300781e-05
"BW",1991-10-16,120,"Shrubland",3.83078462474161e-05
"ZW",1991-10-16,120,"Shrubland",1.48729188482047e-05
"BW",1991-10-16,130,"Grassland",3.78717217181183e-05
"ZW",1991-10-16,130,"Grassland",1.94948833746911e-05
"BW",1991-10-16,180,"Flooded Vegetation",3.37309093329414e-05
"ZW",1991-10-16,180,"Flooded Vegetation",1.0374052588957e-05
"BW",1991-10-16,190,"Built areas",3.36083649017382e-05
"ZW",1991-10-16,190,"Built areas",9.37481011632593e-06
"BW",1991-10-16,200,"Bare areas",3.50023531842284e-05
"ZW",1991-10-16,200,"Bare areas",8.79445815371582e-06
"ZW",1991-10-16,210,"Water bodies",1.06126150236061e-05
"BW",1991-11-16,10,"Crops rainfed",3.30420789558326e-05
"ZW",1991-11-16,10,"Crops rainfed",2.97451511784958e-05
"BW",1991-11-16,30,"Crop-tree mosaic",3.22563668379764e-05
"ZW",1991-11-16,30,"Crop-tree mosaic",2.48939444793533e-05
"BW",1991-11-16,60,"Woodland",4.31719687417407e-05
"ZW",1991-11-16,60,"Woodland",3.19810834867495e-05
"BW",1991-11-16,120,"Shrubland",4.16796779326315e-05
"ZW",1991-11-16,120,"Shrubland",3.58221682241325e-05
"BW",1991-11-16,130,"Grassland",4.64169482716614e-05
"ZW",1991-11-16,130,"Grassland",3.23237282105805e-05
"BW",1991-11-16,180,"Flooded Vegetation",3.33978786747557e-05
"ZW",1991-11-16,180,"Flooded Vegetation",3.84315087266702e-05
"BW",1991-11-16,190,"Built areas",3.36207376676612e-05
"ZW",1991-11-16,190,"Built areas",2.69168408178165e-05
"BW",1991-11-16,200,"Bare areas",3.22780939891115e-05
"ZW",1991-11-16,200,"Bare areas",2.53146627073875e-05
"ZW",1991-11-16,210,"Water bodies",4.29378740037741e-05
"BW",1991-12-16,10,"Crops rainfed",0.00013281462165644
"ZW",1991-12-16,10,"Crops rainfed",9.95252086459752e-05
"BW",1991-12-16,30,"Crop-tree mosaic",0.000140602955823841
"ZW",1991-12-16,30,"Crop-tree mosaic",9.25627335070486e-05
"BW",1991-12-16,60,"Woodland",0.000118331044046081
"ZW",1991-12-16,60,"Woodland",0.000109759700983625
"BW",1991-12-16,120,"Shrubland",0.000127032788037777
"ZW",1991-12-16,120,"Shrubland",0.00012559890352291
"BW",1991-12-16,130,"Grassland",0.000128373484671197
"ZW",1991-12-16,130,"Grassland",0.000107498125159439
"BW",1991-12-16,180,"Flooded Vegetation",0.000142868867811017
"ZW",1991-12-16,180,"Flooded Vegetation",0.000121847652712276
"BW",1991-12-16,190,"Built areas",0.000142167977173813
"ZW",1991-12-16,190,"Built areas",9.67726949105073e-05
"BW",1991-12-16,200,"Bare areas",0.000147180100084345
"ZW",1991-12-16,200,"Bare areas",9.5776362286415e-05
"ZW",1991-12-16,210,"Water bodies",0.000120921922288013
"BW",1992-01-16,10,"Crops rainfed",2.22844271310219e-05
"ZW",1992-01-16,10,"Crops rainfed",2.47044543060688e-05
"BW",1992-01-16,30,"Crop-tree mosaic",2.2992903741768e-05
"ZW",1992-01-16,30,"Crop-tree mosaic",2.39126964176497e-05
"BW",1992-01-16,60,"Woodland",2.11461989457561e-05
"ZW",1992-01-16,60,"Woodland",2.34241938123061e-05
"BW",1992-01-16,120,"Shrubland",2.11127435694132e-05
"ZW",1992-01-16,120,"Shrubland",2.30580286214715e-05
"BW",1992-01-16,130,"Grassland",2.11518920942903e-05
"ZW",1992-01-16,130,"Grassland",2.30172093063549e-05
"BW",1992-01-16,180,"Flooded Vegetation",2.18123717589864e-05
"ZW",1992-01-16,180,"Flooded Vegetation",2.55926543104579e-05
"BW",1992-01-16,190,"Built areas",2.18653058254858e-05
"ZW",1992-01-16,190,"Built areas",2.11363761818142e-05
"BW",1992-01-16,200,"Bare areas",2.13762130134218e-05
"ZW",1992-01-16,200,"Bare areas",2.14911251532612e-05
"ZW",1992-01-16,210,"Water bodies",2.44362947846046e-05
"BW",1992-02-15,10,"Crops rainfed",4.50432153459224e-05
"ZW",1992-02-15,10,"Crops rainfed",3.78373378007137e-05
"BW",1992-02-15,30,"Crop-tree mosaic",3.97455186968579e-05
"ZW",1992-02-15,30,"Crop-tree mosaic",3.80976297048268e-05
"BW",1992-02-15,60,"Woodland",4.46566301545335e-05
"ZW",1992-02-15,60,"Woodland",3.29474395239572e-05
"BW",1992-02-15,120,"Shrubland",4.5870567056494e-05
"ZW",1992-02-15,120,"Shrubland",3.756315844402e-05
"BW",1992-02-15,130,"Grassland",4.69177553809332e-05
"ZW",1992-02-15,130,"Grassland",4.06375507833008e-05
"BW",1992-02-15,180,"Flooded Vegetation",4.93686355774706e-05
"ZW",1992-02-15,180,"Flooded Vegetation",3.2805541288839e-05
"BW",1992-02-15,190,"Built areas",4.93440784339327e-05
"ZW",1992-02-15,190,"Built areas",3.91402993468533e-05
"BW",1992-02-15,200,"Bare areas",4.95901466025184e-05
"ZW",1992-02-15,200,"Bare areas",3.99996097257826e-05
"ZW",1992-02-15,210,"Water bodies",2.74780598265747e-05
"BW",1992-03-15,10,"Crops rainfed",2.08449273919071e-05
"ZW",1992-03-15,10,"Crops rainfed",2.57121448630752e-05
"BW",1992-03-15,30,"Crop-tree mosaic",2.5552455999601e-05
"ZW",1992-03-15,30,"Crop-tree mosaic",3.43338195163868e-05
"BW",1992-03-15,60,"Woodland",1.65829296594618e-05
"ZW",1992-03-15,60,"Woodland",1.99562824603962e-05
"BW",1992-03-15,120,"Shrubland",1.71597559998903e-05
"ZW",1992-03-15,120,"Shrubland",1.91956060595374e-05
"BW",1992-03-15,130,"Grassland",1.5944608251356e-05
"ZW",1992-03-15,130,"Grassland",2.29729889274945e-05
"BW",1992-03-15,180,"Flooded Vegetation",1.57927769012875e-05
"ZW",1992-03-15,180,"Flooded Vegetation",2.2085060337327e-05
"BW",1992-03-15,190,"Built areas",1.55058114614803e-05
"ZW",1992-03-15,190,"Built areas",1.53304190360318e-05
"BW",1992-03-15,200,"Bare areas",1.78467395867942e-05
"ZW",1992-03-15,200,"Bare areas",1.54371791722951e-05
"ZW",1992-03-15,210,"Water bodies",2.25250616702634e-05
"BW",1992-04-15,10,"Crops rainfed",7.25860230046037e-06
"ZW",1992-04-15,10,"Crops rainfed",6.16492100624188e-06
"BW",1992-04-15,30,"Crop-tree mosaic",8.14732298887614e-06
"ZW",1992-04-15,30,"Crop-tree mosaic",8.33127689800572e-06
"BW",1992-04-15,60,"Woodland",6.51172687250327e-06
"ZW",1992-04-15,60,"Woodland",5.44397108271956e-06
"BW",1992-04-15,120,"Shrubland",6.55056660401529e-06
"ZW",1992-04-15,120,"Shrubland",4.42761795819438e-06
"BW",1992-04-15,130,"Grassland",5.880537488966e-06
"ZW",1992-04-15,130,"Grassland",6.23720580898697e-06
"BW",1992-04-15,180,"Flooded Vegetation",5.0879862469997e-06
"ZW",1992-04-15,180,"Flooded Vegetation",3.00727911869613e-06
"BW",1992-04-15,190,"Built areas",5.04445324622793e-06
"ZW",1992-04-15,190,"Built areas",3.86237549556179e-06
"BW",1992-04-15,200,"Bare areas",5.41809127360207e-06
"ZW",1992-04-15,200,"Bare areas",3.74388605450804e-06
"ZW",1992-04-15,210,"Water bodies",3.16955240998101e-06
"BW",1992-05-15,10,"Crops rainfed",3.27510083736632e-06
"ZW",1992-05-15,10,"Crops rainfed",5.45759353324577e-06
"BW",1992-05-15,30,"Crop-tree mosaic",3.84839720104126e-06
"ZW",1992-05-15,30,"Crop-tree mosaic",5.75624735587328e-06
"BW",1992-05-15,60,"Woodland",3.98337441319943e-06
"ZW",1992-05-15,60,"Woodland",5.37990673182109e-06
"BW",1992-05-15,120,"Shrubland",4.1602311416025e-06
"ZW",1992-05-15,120,"Shrubland",5.723873737557e-06
"BW",1992-05-15,130,"Grassland",4.29522876520696e-06
"ZW",1992-05-15,130,"Grassland",5.85399370258309e-06
"BW",1992-05-15,180,"Flooded Vegetation",6.03346578262407e-06
"ZW",1992-05-15,180,"Flooded Vegetation",4.78478975123718e-06
"BW",1992-05-15,190,"Built areas",6.1064552028256e-06
"ZW",1992-05-15,190,"Built areas",5.38979013851661e-06
"BW",1992-05-15,200,"Bare areas",5.47725287812698e-06
"ZW",1992-05-15,200,"Bare areas",5.35472099727485e-06
"ZW",1992-05-15,210,"Water bodies",4.58093588013466e-06
"BW",1992-06-15,10,"Crops rainfed",2.21777903374308e-06
"ZW",1992-06-15,10,"Crops rainfed",2.34135453161066e-06
"BW",1992-06-15,30,"Crop-tree mosaic",2.66313369014554e-06
"ZW",1992-06-15,30,"Crop-tree mosaic",2.58096794230881e-06
"BW",1992-06-15,60,"Woodland",1.97378024506107e-06
"ZW",1992-06-15,60,"Woodland",2.16763090805112e-06
"BW",1992-06-15,120,"Shrubland",2.07045128324275e-06
"ZW",1992-06-15,120,"Shrubland",2.02634314096951e-06
"BW",1992-06-15,130,"Grassland",2.04949158134297e-06
"ZW",1992-06-15,130,"Grassland",2.32669593942574e-06
"BW",1992-06-15,180,"Flooded Vegetation",2.10566127935709e-06
"ZW",1992-06-15,180,"Flooded Vegetation",1.52636369840855e-06
"BW",1992-06-15,190,"Built areas",2.09247923521616e-06
"ZW",1992-06-15,190,"Built areas",1.9328362632936e-06
"BW",1992-06-15,200,"Bare areas",2.20322752728291e-06
"ZW",1992-06-15,200,"Bare areas",1.96496716853289e-06
"ZW",1992-06-15,210,"Water bodies",1.41024431568242e-06
"BW",1992-07-15,10,"Crops rainfed",2.76797871193313e-07
"ZW",1992-07-15,10,"Crops rainfed",6.93185559789088e-07
"BW",1992-07-15,30,"Crop-tree mosaic",3.86949368614433e-07
"ZW",1992-07-15,30,"Crop-tree mosaic",6.92370658483848e-07
"BW",1992-07-15,60,"Woodland",2.24208581452376e-07
"ZW",1992-07-15,60,"Woodland",6.09223601085525e-07
"BW",1992-07-15,120,"Shrubland",2.41176319074716e-07
"ZW",1992-07-15,120,"Shrubland",3.75125861132309e-07
"BW",1992-07-15,130,"Grassland",2.08240367835301e-07
"ZW",1992-07-15,130,"Grassland",4.65827576990618e-07
"BW",1992-07-15,180,"Flooded Vegetation",2.54218788866736e-07
"ZW",1992-07-15,180,"Flooded Vegetation",4.40325727697363e-07
"BW",1992-07-15,190,"Built areas",2.52142285717127e-07
"ZW",1992-07-15,190,"Built areas",4.79713545898846e-07
"BW",1992-07-15,200,"Bare areas",2.68035869006838e-07
"ZW",1992-07-15,200,"Bare areas",4.93865059070231e-07
"ZW",1992-07-15,210,"Water bodies",3.7647613490445e-07
"BW",1992-08-15,10,"Crops rainfed",2.45337812377713e-07
"ZW",1992-08-15,10,"Crops rainfed",4.85821276639961e-07
"BW",1992-08-15,30,"Crop-tree mosaic",2.79659666422896e-07
"ZW",1992-08-15,30,"Crop-tree mosaic",5.39384238122736e-07
"BW",1992-08-15,60,"Woodland",2.30178551413179e-07
"ZW",1992-08-15,60,"Woodland",5.4254315826499e-07
"BW",1992-08-15,120,"Shrubland",2.25127846604637e-07
"ZW",1992-08-15,120,"Shrubland",2.26554209309918e-07
"BW",1992-08-15,130,"Grassland",2.08674936345629e-07
"ZW",1992-08-15,130,"Grassland",3.53462383474555e-07
"BW",1992-08-15,180,"Flooded Vegetation",2.33701137240992e-07
"ZW",1992-08-15,180,"Flooded Vegetation",2.15743037520392e-07
"BW",1992-08-15,190,"Built areas",2.34091857009844e-07
"ZW",1992-08-15,190,"Built areas",1.88515719790186e-07
"BW",1992-08-15,200,"Bare areas",2.30866247074132e-07
"ZW",1992-08-15,200,"Bare areas",1.90515464737473e-07
"ZW",1992-08-15,210,"Water bodies",1.91715795779764e-07
"BW",1992-09-15,10,"Crops rainfed",2.92119460302195e-07
"ZW",1992-09-15,10,"Crops rainfed",2.67254512034513e-07
"BW",1992-09-15,30,"Crop-tree mosaic",2.17024591018685e-07
"ZW",1992-09-15,30,"Crop-tree mosaic",3.147265932416e-07
"BW",1992-09-15,60,"Woodland",2.08364520306863e-07
"ZW",1992-09-15,60,"Woodland",2.92715733494537e-07
"BW",1992-09-15,120,"Shrubland",1.98921238139831e-07
"ZW",1992-09-15,120,"Shrubland",1.40084847069245e-07
"BW",1992-09-15,130,"Grassland",1.29104053260302e-07
"ZW",1992-09-15,130,"Grassland",2.16553045961665e-07
"BW",1992-09-15,180,"Flooded Vegetation",1.16545424122238e-07
"ZW",1992-09-15,180,"Flooded Vegetation",1.15989075256132e-07
"BW",1992-09-15,190,"Built areas",1.1559688317675e-07
"ZW",1992-09-15,190,"Built areas",1.14064521279247e-07
"BW",1992-09-15,200,"Bare areas",1.24082090202891e-07
"ZW",1992-09-15,200,"Bare areas",1.08489672356882e-07
"ZW",1992-09-15,210,"Water bodies",1.18338943108522e-07
"BW",1992-10-15,10,"Crops rainfed",6.84666900183314e-06
"ZW",1992-10-15,10,"Crops rainfed",3.77532401152539e-06
"BW",1992-10-15,30,"Crop-tree mosaic",6.47975922159225e-06
"ZW",1992-10-15,30,"Crop-tree mosaic",3.85082447576669e-06
"BW",1992-10-15,60,"Woodland",6.93755797254793e-06
"ZW",1992-10-15,60,"Woodland",3.75693534131312e-06
"BW",1992-10-15,120,"Shrubland",6.71904898922867e-06
"ZW",1992-10-15,120,"Shrubland",4.31798501575961e-06
"BW",1992-10-15,130,"Grassland",6.80325275174153e-06
"ZW",1992-10-15,130,"Grassland",4.36300660756482e-06
"BW",1992-10-15,180,"Flooded Vegetation",5.19963941769674e-06
"ZW",1992-10-15,180,"Flooded Vegetation",4.47813890320667e-06
"BW",1992-10-15,190,"Built areas",5.1822530622303e-06
"ZW",1992-10-15,190,"Built areas",3.96436750967902e-06
"BW",1992-10-15,200,"Bare areas",5.36358831680466e-06
"ZW",1992-10-15,200,"Bare areas",3.83023507311009e-06
"ZW",1992-10-15,210,"Water bodies",4.78753023868273e-06
"BW",1992-11-15,10,"Crops rainfed",0.000107226692325018
"ZW",1992-11-15,10,"Crops rainfed",7.42817621570615e-05
"BW",1992-11-15,30,"Crop-tree mosaic",8.46121483978798e-05
"ZW",1992-11-15,30,"Crop-tree mosaic",7.5099649902123e-05
"BW",1992-11-15,60,"Woodland",9.73019955770515e-05
"ZW",1992-11-15,60,"Woodland",8.93421294061109e-05
"BW",1992-11-15,120,"Shrubland",9.23866974016009e-05
"ZW",1992-11-15,120,"Shrubland",6.15228697069291e-05
"BW",1992-11-15,130,"Grassland",9.97428806787006e-05
"ZW",1992-11-15,130,"Grassland",7.67112851812831e-05
"BW",1992-11-15,180,"Flooded Vegetation",0.000105672534413611
"ZW",1992-11-15,180,"Flooded Vegetation",6.6918208922755e-05
"BW",1992-11-15,190,"Built areas",0.000105785969935823
"ZW",1992-11-15,190,"Built areas",5.29219190871665e-05
"BW",1992-11-15,200,"Bare areas",0.000104020784516891
"ZW",1992-11-15,200,"Bare areas",5.18677225045394e-05
"ZW",1992-11-15,210,"Water bodies",6.72106946734383e-05
"BW",1992-12-16,10,"Crops rainfed",6.09577157303126e-05
"ZW",1992-12-16,10,"Crops rainfed",8.73127435722027e-05
"BW",1992-12-16,30,"Crop-tree mosaic",5.56376417822618e-05
"ZW",1992-12-16,30,"Crop-tree mosaic",8.0790670049916e-05
"BW",1992-12-16,60,"Woodland",5.7411121644747e-05
"ZW",1992-12-16,60,"Woodland",9.33239861370309e-05
"BW",1992-12-16,120,"Shrubland",5.68825327956043e-05
"ZW",1992-12-16,120,"Shrubland",7.0905025223323e-05
"BW",1992-12-16,130,"Grassland",5.50998501208482e-05
"ZW",1992-12-16,130,"Grassland",7.42633410731946e-05
"BW",1992-12-16,180,"Flooded Vegetation",5.56825806278219e-05
"ZW",1992-12-16,180,"Flooded Vegetation",7.49939785097153e-05
"BW",1992-12-16,190,"Built areas",5.57346684217919e-05
"ZW",1992-12-16,190,"Built areas",8.15173966364338e-05
"BW",1992-12-16,200,"Bare areas",5.52819481417479e-05
"ZW",1992-12-16,200,"Bare areas",8.1052327004727e-05
"ZW",1992-12-16,210,"Water bodies",7.62244111209166e-05
"BW",1993-01-16,10,"Crops rainfed",4.74273387183031e-05
"ZW",1993-01-16,10,"Crops rainfed",4.44605383339088e-05
"BW",1993-01-16,30,"Crop-tree mosaic",4.85954455986861e-05
"ZW",1993-01-16,30,"Crop-tree mosaic",5.0911600908004e-05
"BW",1993-01-16,60,"Woodland",4.70997230346756e-05
"ZW",1993-01-16,60,"Woodland",4.62952440767059e-05
